Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
137,9/11/2019,1003.6,78.17,78.43,91.02,91.02,0.99,9.27,0.74,19.38,135,5,0.0095,0.0033,260.8,9.997,0.42,1
138,9/11/2019,1003.5,77.64,77.77,91.36,91.36,0.99,9.11,0.72,19.17,136,5,0.0104,0.003,260.8,9.989,0.42,1
139,9/11/2019,1003.2,77.63,77.76,91.43,91.43,0.98,9.11,0.73,19.03,135,5,0.0117,0.0033,260.8,9.988,0.42,1
140,9/11/2019,1003.2,78.26,78.43,90.9,90.9,0.99,9.17,0.73,19.3,136,5,0.0107,0.0032,260.8,9.994,0.42,1
141,9/11/2019,1003.6,78.22,78.54,90.88,90.88,0.99,9.34,0.74,19.56,135,5,0.0102,0.0035,260.8,9.994,0.42,1
142,9/11/2019,1003.2,78.59,78.67,90.82,90.82,0.96,9.43,0.75,19.68,135,6,0.0112,0.0036,260.8,10,0.42,1
143,9/11/2019,1003.2,78.96,78.5,90.74,90.74,0.91,9.57,0.77,19.61,134,6,0.0135,0.0042,260.8,9.841,0.42,1
144,9/12/2019,1005.9,78.39,76.5,84.06,84.06,0.99,12.65,0.99,24.89,161,5,0.2561,0.0775,259.6,6.269,0.45,1
145,9/12/2019,1005.8,78.33,77.19,83.91,83.91,0.99,12.3,0.99,24.68,157,5,0.2532,0.0815,259.8,6.024,0.45,1
146,9/12/2019,1005.9,78.43,76.43,83.95,83.95,0.99,12.61,0.99,24.94,160,5,0.2521,0.0781,259.6,6.2,0.45,1
147,9/12/2019,1005.8,77.83,75.74,83.57,83.57,0.99,12.51,0.99,24.7,160,5,0.2657,0.0794,259.6,6.168,0.45,1
148,9/12/2019,1005.3,77.85,75.86,83.56,83.56,0.98,12.33,0.99,24.43,158,5,0.2637,0.0766,259.5,6.253,0.45,1
149,9/12/2019,1005.3,78.49,76.37,83.37,83.37,0.99,12.57,0.99,24.86,160,5,0.252,0.0786,259.6,6.184,0.45,1
150,9/12/2019,1005.9,78.54,76.51,84.11,84.11,0.99,12.68,0.99,25.17,161,5,0.2529,0.077,259.6,6.191,0.45,1
151,9/12/2019,1005.4,78.76,76.67,83.96,83.96,0.96,12.29,0.99,25.15,156,6,0.2176,0.0718,259.6,6.136,0.45,1
152,9/12/2019,1005.3,78.52,77,84.56,84.56,0.92,11.77,0.99,24.76,152,6,0.1939,0.0664,259.5,6.04,0.45,1
